house,number,floor,section,area,rooms
139/1,1,2,1,52.5,2
139/1,2,2,1,41.2,1
139/1,3,2,1,88.2,3
139/1,4,2,1,40.8,1
139/1,5,2,1,55.3,2
139/1,6,3,1,52.6,2
139/1,7,3,1,40.4,1
139/1,8,3,1,88.2,3
139/1,9,3,1,40.4,1
139/1,10,3,1,55.0,2
139/1,11,4,1,51.8,1
139/1,12,4,1,41.0,1
139/1,13,4,1,87.6,3
139/1,14,4,1,40.4,1
139/1,15,4,1,55.1,2
139/1,16,5,1,52.5,2
139/1,17,5,1,40.5,1
139/1,18,5,1,88.8,3
139/1,19,5,1,41.0,1
139/1,20,5,1,55.4,2
139/1,21,6,1,52.6,2
139/1,22,6,1,41.3,1
139/1,23,6,1,88.6,3
139/1,24,6,1,40.6,1
139/1,25,6,1,55.5,2
139/1,26,7,1,52.3,2
139/1,27,7,1,40.7,1
139/1,28,7,1,88.7,3
139/1,29,7,1,41.2,1
139/1,30,7,1,55.0,2
139/1,31,8,1,51.9,1
139/1,32,8,1,41.1,1
139/1,33,8,1,89.6,3
139/1,34,8,1,40.7,1
139/1,35,8,1,54.8,2
139/1,36,9,1,52.5,2
139/1,37,9,1,41.7,1
139/1,38,9,1,88.3,3
139/1,39,9,1,41.4,1
139/1,40,9,1,55.3,2
139/1,41,10,1,52.1,2
139/1,42,10,1,41.0,1
139/1,43,10,1,88.3,3
139/1,44,10,1,40.8,1
139/1,45,10,1,55.3,2
139/1,46,11,1,52.8,2
139/1,47,11,1,41.4,1
139/1,48,11,1,89.0,3
139/1,49,11,1,40.7,1
139/1,50,11,1,55.4,2
139/1,51,12,1,52.0,2
139/1,52,12,1,41.2,1
139/1,53,12,1,90.3,3
139/1,54,12,1,41.1,1
139/1,55,12,1,55.1,2
139/1,56,13,1,52.8,2
139/1,57,13,1,41.3,1
139/1,58,13,1,89.2,3
139/1,59,13,1,40.7,1
139/1,60,13,1,55.5,2
139/1,61,14,1,51.9,1
139/1,62,14,1,40.8,1
139/1,63,14,1,89.2,3
139/1,64,14,1,40.7,1
139/1,65,14,1,55.0,2
139/1,66,2,2,60.3,2
139/1,67,2,2,35.5,1
139/1,68,2,2,34.9,1
139/1,69,2,2,58.3,2
139/1,70,3,2,60.4,2
139/1,71,3,2,35.6,1
139/1,72,3,2,35.3,1
139/1,73,3,2,58.2,2
139/1,74,4,2,60.9,2
139/1,75,4,2,35.9,1
139/1,76,4,2,35.0,1
139/1,77,4,2,58.1,2
139/1,78,5,2,60.5,2
139/1,79,5,2,35.4,1
139/1,80,5,2,34.4,1
139/1,81,5,2,57.9,2
139/1,82,6,2,60.4,2
139/1,83,6,2,35.5,1
139/1,84,6,2,34.6,1
139/1,85,6,2,58.2,2
139/1,86,7,2,60.1,2
139/1,87,7,2,35.2,1
139/1,88,7,2,34.5,1
139/1,89,7,2,58.0,2
139/1,90,8,2,60.4,2
139/1,91,8,2,35.2,1
139/1,92,8,2,34.8,1
139/1,93,8,2,58.0,2
139/1,94,9,2,60.0,2
139/1,95,9,2,35.7,1
139/1,96,9,2,35.1,1
139/1,97,9,2,58.2,2
139/1,98,10,2,60.7,2
139/1,99,10,2,35.7,1
139/1,100,10,2,34.8,1
139/1,101,10,2,58.6,2
139/1,102,11,2,60.7,2
139/1,103,11,2,35.3,1
139/1,104,11,2,35.1,1
139/1,105,11,2,58.6,2
139/1,106,12,2,60.1,2
139/1,107,12,2,35.6,1
139/1,108,12,2,35.1,1
139/1,109,12,2,58.2,2
139/1,110,13,2,60.5,2
139/1,111,13,2,36.1,1
139/1,112,13,2,34.9,1
139/1,113,13,2,58.8,2
139/1,114,14,2,60.7,2
139/1,115,14,2,35.6,1
139/1,116,14,2,34.9,1
139/1,117,14,2,58.4,2
139/1,118,15,2,61.1,2
139/1,119,15,2,35.4,1
139/1,120,15,2,35.2,1
139/1,121,15,2,58.3,2
139/1,122,16,2,60.9,2
139/1,123,16,2,35.4,1
139/1,124,16,2,35.1,1
139/1,125,16,2,58.6,2
139/1,126,2,3,76.9,3
139/1,127,2,3,89.5,3
139/1,128,2,3,41.2,1
139/1,129,2,3,52.5,2
139/1,130,3,3,78.6,3
139/1,131,3,3,89.2,3
139/1,132,3,3,41.0,1
139/1,133,3,3,53.1,2
139/1,134,4,3,79.1,3
139/1,135,4,3,88.6,3
139/1,136,4,3,40.9,1
139/1,137,4,3,52.3,2
139/1,138,5,3,79.2,3
139/1,139,5,3,89.1,3
139/1,140,5,3,40.8,1
139/1,141,5,3,52.6,2
139/1,142,6,3,79.2,3
139/1,143,6,3,89.1,3
139/1,144,6,3,40.8,1
139/1,145,6,3,51.9,1
139/1,146,7,3,79.2,3
139/1,147,7,3,88.8,3
139/1,148,7,3,41.1,1
139/1,149,7,3,52.4,2
139/1,150,8,3,78.9,3
139/1,151,8,3,89.4,3
139/1,152,8,3,41.1,1
139/1,153,8,3,52.1,2
139/1,154,9,3,78.8,3
139/1,155,9,3,89.3,3
139/1,156,9,3,40.8,1
139/1,157,9,3,52.7,2
139/1,158,10,3,79.3,3
139/1,159,10,3,89.2,3
139/1,160,10,3,40.8,1
139/1,161,10,3,52.1,2
139/1,162,11,3,78.9,3
139/1,163,11,3,90.2,3
139/1,164,11,3,41.0,1
139/1,165,11,3,52.1,2
139/1,166,12,3,78.7,3
139/1,167,12,3,89.5,3
139/1,168,12,3,41.0,1
139/1,169,12,3,51.9,1
139/1,170,13,3,79.1,3
139/1,171,13,3,89.0,3
139/1,172,13,3,41.3,1
139/1,173,13,3,52.5,2
139/1,174,14,3,79.0,3
139/1,175,14,3,89.0,3
139/1,176,14,3,41.0,1
139/1,177,14,3,52.5,2
139/1,178,15,3,78.6,3
139/1,179,15,3,89.0,3
139/1,180,15,3,41.0,1
139/1,181,15,3,51.8,1
139/1,182,16,3,79.2,3
139/1,183,16,3,88.9,3
139/1,184,16,3,40.6,1
139/1,185,16,3,51.8,1
139/1,186,17,3,79.1,3
139/1,187,17,3,88.9,3
139/1,188,17,3,40.9,1
139/1,189,17,3,51.8,1
139/1,190,18,3,78.6,3
139/1,191,18,3,89.2,3
139/1,192,18,3,40.8,1
139/1,193,18,3,52.0,2
139/1,194,2,4,60.3,2
139/1,195,2,4,36.4,1
139/1,196,2,4,56.5,2
139/1,197,2,4,64.3,2
139/1,198,3,4,60.1,2
139/1,199,3,4,36.9,1
139/1,200,3,4,57.3,2
139/1,201,3,4,78.3,3
139/1,202,4,4,59.7,2
139/1,203,4,4,36.6,1
139/1,204,4,4,56.0,2
139/1,205,4,4,78.1,3
139/1,206,5,4,59.8,2
139/1,207,5,4,36.6,1
139/1,208,5,4,57.3,2
139/1,209,5,4,77.7,3
139/1,210,6,4,59.0,2
139/1,211,6,4,36.9,1
139/1,212,6,4,57.1,2
139/1,213,6,4,78.0,3
139/1,214,7,4,59.1,2
139/1,215,7,4,36.9,1
139/1,216,7,4,56.3,2
139/1,217,7,4,78.5,3
139/1,218,8,4,59.5,2
139/1,219,8,4,37.0,1
139/1,220,8,4,57.2,2
139/1,221,8,4,77.8,3
139/1,222,9,4,59.5,2
139/1,223,9,4,36.7,1
139/1,224,9,4,57.3,2
139/1,225,9,4,77.4,3
139/1,226,10,4,59.7,2
139/1,227,10,4,36.5,1
139/1,228,10,4,57.1,2
139/1,229,10,4,78.1,3
139/1,230,11,4,59.6,2
139/1,231,11,4,36.4,1
139/1,232,11,4,57.2,2
139/1,233,11,4,78.3,3
139/1,234,12,4,59.8,2
139/1,235,12,4,36.9,1
139/1,236,12,4,57.3,2
139/1,237,12,4,78.3,3
139/1,238,13,4,59.5,2
139/1,239,13,4,36.4,1
139/1,240,13,4,57.1,2
139/1,241,13,4,78.4,3
139/1,242,14,4,59.6,2
139/1,243,14,4,37.1,1
139/1,244,14,4,57.0,2
139/1,245,14,4,78.5,3
139/1,246,15,4,59.2,2
139/1,247,15,4,36.7,1
139/1,248,15,4,56.5,2
139/1,249,15,4,78.4,3
139/1,250,16,4,59.7,2
139/1,251,16,4,36.3,1
139/1,252,16,4,56.7,2
139/1,253,16,4,77.9,3
139/1,254,2,5,63.5,2
139/1,255,2,5,60.3,2
139/1,256,2,5,61.6,2
139/1,257,2,5,81.5,3
139/1,258,3,5,63.9,2
139/1,259,3,5,60.0,2
139/1,260,3,5,61.3,2
139/1,261,3,5,82.3,3
139/1,262,4,5,63.9,2
139/1,263,4,5,60.2,2
139/1,264,4,5,60.9,2
139/1,265,4,5,83.3,3
139/1,266,5,5,64.7,2
139/1,267,5,5,60.3,2
139/1,268,5,5,61.2,2
139/1,269,5,5,82.8,3
139/1,270,6,5,64.3,2
139/1,271,6,5,60.3,2
139/1,272,6,5,61.1,2
139/1,273,6,5,83.2,3
139/1,274,7,5,63.5,2
139/1,275,7,5,60.8,2
139/1,276,7,5,61.1,2
139/1,277,7,5,83.1,3
139/1,278,8,5,64.2,2
139/1,279,8,5,60.7,2
139/1,280,8,5,61.4,2
139/1,281,8,5,83.1,3
139/1,282,9,5,64.1,2
139/1,283,9,5,60.6,2
139/1,284,9,5,61.9,2
139/1,285,9,5,83.3,3
139/1,286,10,5,63.8,2
139/1,287,10,5,60.5,2
139/1,288,10,5,61.5,2
139/1,289,10,5,83.5,3
139/1,290,11,5,63.7,2
139/1,291,11,5,60.7,2
139/1,292,11,5,61.3,2
139/1,293,11,5,83.0,3
139/1,294,12,5,64.1,2
139/1,295,12,5,61.3,2
139/1,296,12,5,61.3,2
139/1,297,12,5,83.3,3
139/1,298,13,5,64.2,2
139/1,299,13,5,60.6,2
139/1,300,13,5,61.4,2
139/1,301,13,5,82.9,3
139/1,302,14,5,63.5,2
139/1,303,14,5,60.5,2
139/1,304,14,5,61.5,2
139/1,305,14,5,83.2,3
139/1,306,2,6,76.9,3
139/1,307,2,6,40.4,1
139/1,308,2,6,39.9,1
139/1,309,2,6,74.8,2
139/1,310,3,6,78.2,3
139/1,311,3,6,40.4,1
139/1,312,3,6,39.7,1
139/1,313,3,6,75.0,3
139/1,314,4,6,76.5,3
139/1,315,4,6,40.1,1
139/1,316,4,6,39.8,1
139/1,317,4,6,75.5,3
139/1,318,5,6,77.0,3
139/1,319,5,6,40.2,1
139/1,320,5,6,39.6,1
139/1,321,5,6,75.5,3
139/1,322,6,6,77.8,3
139/1,323,6,6,40.3,1
139/1,324,6,6,39.8,1
139/1,325,6,6,75.1,3
139/1,326,7,6,78.0,3
139/1,327,7,6,40.3,1
139/1,328,7,6,40.2,1
139/1,329,7,6,75.4,3
139/1,330,8,6,77.8,3
139/1,331,8,6,40.3,1
139/1,332,8,6,39.8,1
139/1,333,8,6,75.7,3
139/1,334,9,6,78.1,3
139/1,335,9,6,40.5,1
139/1,336,9,6,39.9,1
139/1,337,9,6,75.6,3
139/1,338,10,6,77.8,3
139/1,339,10,6,40.5,1
139/1,340,10,6,40.0,1
139/1,341,10,6,75.8,3
139/1,342,11,6,78.1,3
139/1,343,11,6,40.5,1
139/1,344,11,6,40.0,1
139/1,345,11,6,75.9,3
139/1,346,12,6,78.2,3
139/1,347,12,6,40.6,1
139/1,348,12,6,40.6,1
139/1,349,12,6,75.3,3
139/1,350,13,6,78.7,3
139/1,351,13,6,40.7,1
139/1,352,13,6,40.0,1
139/1,353,13,6,76.0,3
139/1,354,14,6,78.2,3
139/1,355,14,6,40.8,1
139/1,356,14,6,40.7,1
139/1,357,14,6,75.8,3
139/1,358,15,6,77.7,3
139/1,359,15,6,40.7,1
139/1,360,15,6,40.0,1
139/1,361,15,6,75.3,3
139/1,362,16,6,78.7,3
139/1,363,16,6,40.3,1
139/1,364,16,6,39.9,1
139/1,365,16,6,75.8,3
139/1,366,2,7,104.3,3
139/1,367,2,7,60.1,2
139/1,368,2,7,61.2,2
139/1,369,2,7,85.8,3
139/1,370,3,7,60.0,2
139/1,371,3,7,60.0,2
139/1,372,3,7,60.9,2
139/1,373,3,7,85.7,3
139/1,374,4,7,59.8,2
139/1,375,4,7,60.5,2
139/1,376,4,7,60.9,2
139/1,377,4,7,86.0,3
139/1,378,5,7,60.4,2
139/1,379,5,7,60.1,2
139/1,380,5,7,61.5,2
139/1,381,5,7,86.2,3
139/1,382,6,7,59.8,2
139/1,383,6,7,59.8,2
139/1,384,6,7,61.5,2
139/1,385,6,7,85.6,3
139/1,386,7,7,60.7,2
139/1,387,7,7,60.0,2
139/1,388,7,7,61.4,2
139/1,389,7,7,85.9,3
139/1,390,8,7,60.4,2
139/1,391,8,7,60.2,2
139/1,392,8,7,61.2,2
139/1,393,8,7,85.9,3
139/1,394,9,7,60.0,2
139/1,395,9,7,60.4,2
139/1,396,9,7,61.4,2
139/1,397,9,7,86.1,3
139/1,398,10,7,61.0,2
139/1,399,10,7,60.0,2
139/1,400,10,7,61.8,2
139/1,401,10,7,86.0,3
139/1,402,11,7,59.9,2
139/1,403,11,7,60.5,2
139/1,404,11,7,61.7,2
139/1,405,11,7,86.2,3
139/1,406,12,7,60.2,2
139/1,407,12,7,60.2,2
139/1,408,12,7,61.5,2
139/1,409,12,7,85.9,3
139/1,410,13,7,60.6,2
139/1,411,13,7,60.0,2
139/1,412,13,7,61.7,2
139/1,413,13,7,86.3,3
139/1,414,14,7,60.1,2
139/1,415,14,7,60.0,2
139/1,416,14,7,61.5,2
139/2,1,2,1,62.6,2
139/2,2,2,1,41.3,1
139/2,3,2,1,57.5,2
139/2,4,2,1,84.8,3
139/2,5,3,1,62.7,2
139/2,6,3,1,41.2,1
139/2,7,3,1,57.7,2
139/2,8,3,1,86.8,3
139/2,9,4,1,62.7,2
139/2,10,4,1,41.0,1
139/2,11,4,1,57.8,2
139/2,12,4,1,86.9,3
139/2,13,5,1,62.5,2
139/2,14,5,1,41.2,1
139/2,15,5,1,57.6,2
139/2,16,5,1,86.8,3
139/2,17,6,1,62.3,2
139/2,18,6,1,41.1,1
139/2,19,6,1,57.5,2
139/2,20,6,1,86.8,3
139/2,21,7,1,61.8,2
139/2,22,7,1,41.1,1
139/2,23,7,1,57.4,2
139/2,24,7,1,87.2,3
139/2,25,8,1,62.3,2
139/2,26,8,1,41.1,1
139/2,27,8,1,57.2,2
139/2,28,8,1,86.7,3
139/2,29,9,1,61.9,2
139/2,30,9,1,40.9,1
139/2,31,9,1,56.9,2
139/2,32,9,1,86.5,3
139/2,33,10,1,61.5,2
139/2,34,10,1,40.6,1
139/2,35,10,1,57.0,2
139/2,36,10,1,86.2,3
139/2,37,11,1,61.7,2
139/2,38,11,1,40.6,1
139/2,39,11,1,57.1,2
139/2,40,11,1,86.1,3
139/2,41,12,1,61.1,2
139/2,42,12,1,40.8,1
139/2,43,12,1,57.0,2
139/2,44,12,1,86.1,3
139/2,45,13,1,61.3,2
139/2,46,13,1,40.8,1
139/2,47,13,1,56.9,2
139/2,48,13,1,85.9,3
139/2,49,14,1,61.4,2
139/2,50,14,1,40.7,1
139/2,51,14,1,56.9,2
139/2,52,14,1,86.0,3
139/2,53,15,1,61.8,2
139/2,54,15,1,40.8,1
139/2,55,15,1,57.3,2
139/2,56,15,1,86.5,3
139/2,57,16,1,61.9,2
139/2,58,16,1,40.6,1
139/2,59,16,1,57.2,2
139/2,60,16,1,85.1,3
139/2,61,3,2,91.1,3
139/2,62,3,2,82.8,3
139/2,63,3,2,78.2,3
139/2,64,4,2,91.0,3
139/2,65,4,2,82.6,3
139/2,66,4,2,77.7,3
139/2,67,5,2,91.2,3
139/2,68,5,2,82.9,3
139/2,69,5,2,77.6,3
139/2,70,6,2,91.2,3
139/2,71,6,2,82.7,3
139/2,72,6,2,77.3,3
139/2,73,7,2,91.4,3
139/2,74,7,2,83.2,3
139/2,75,7,2,77.5,3
139/2,76,8,2,91.3,3
139/2,77,8,2,83.2,3
139/2,78,8,2,77.9,3
139/2,79,9,2,91.0,3
139/2,80,9,2,82.9,3
139/2,81,9,2,77.5,3
139/2,82,10,2,91.1,3
139/2,83,10,2,82.7,3
139/2,84,10,2,77.9,3
139/2,85,11,2,91.2,3
139/2,86,11,2,82.9,3
139/2,87,11,2,78.0,3
139/2,88,12,2,90.8,3
139/2,89,12,2,82.6,3
139/2,90,12,2,77.3,3
139/2,91,13,2,91.1,3
139/2,92,13,2,82.5,3
139/2,93,13,2,77.4,3
139/2,94,14,2,90.6,3
139/2,95,14,2,81.8,3
139/2,96,14,2,77.5,3
139/2,97,15,2,91.4,3
139/2,98,15,2,82.2,3
139/2,99,15,2,78.1,3
139/2,100,16,2,90.7,3
139/2,101,16,2,82.6,3
139/2,102,16,2,77.9,3
139/2,103,17,2,90.6,3
139/2,104,17,2,82.4,3
139/2,105,17,2,77.4,3
139/2,106,18,2,91.2,3
139/2,107,18,2,82.3,3
139/2,108,18,2,77.5,3
139/2,109,19,2,90.8,3
139/2,110,19,2,82.1,3
139/2,111,19,2,78.2,3
139/2,112,20,2,90.8,3
139/2,113,20,2,82.2,3
139/2,114,20,2,77.8,3
139/2,115,21,2,90.9,3
139/2,116,21,2,82.6,3
139/2,117,21,2,78.2,3
139/2,118,22,2,91.0,3
139/2,119,22,2,82.5,3
139/2,120,22,2,78.1,3
139/2,121,23,2,91.1,3
139/2,122,23,2,82.4,3
139/2,123,23,2,77.7,3
139/2,124,24,2,91.8,3
139/2,125,24,2,82.0,3
139/2,126,24,2,77.8,3
139/2,127,3,3,67.6,2
139/2,128,3,3,38.8,1
139/2,129,3,3,38.8,1
139/2,130,3,3,67.7,2
139/2,131,4,3,67.0,2
139/2,132,4,3,39.0,1
139/2,133,4,3,38.8,1
139/2,134,4,3,67.4,2
139/2,135,5,3,67.1,2
139/2,136,5,3,38.7,1
139/2,137,5,3,38.7,1
139/2,138,5,3,67.6,2
139/2,139,6,3,66.7,2
139/2,140,6,3,38.7,1
139/2,141,6,3,38.5,1
139/2,142,6,3,67.4,2
139/2,143,7,3,66.7,2
139/2,144,7,3,38.4,1
139/2,145,7,3,38.6,1
139/2,146,7,3,67.9,2
139/2,147,8,3,67.6,2
139/2,148,8,3,38.6,1
139/2,149,8,3,38.6,1
139/2,150,8,3,67.9,2
139/2,151,9,3,67.0,2
139/2,152,9,3,38.5,1
139/2,153,9,3,38.7,1
139/2,154,9,3,67.6,2
139/2,155,10,3,66.5,2
139/2,156,10,3,38.5,1
139/2,157,10,3,38.1,1
139/2,158,10,3,66.9,2
139/2,159,11,3,66.4,2
139/2,160,11,3,38.0,1
139/2,161,11,3,38.4,1
139/2,162,11,3,67.1,2
139/2,163,12,3,66.6,2
139/2,164,12,3,38.4,1
139/2,165,12,3,38.4,1
139/2,166,12,3,67.5,2
139/2,167,13,3,67.1,2
139/2,168,13,3,38.3,1
139/2,169,13,3,37.9,1
139/2,170,13,3,67.5,2
139/2,171,14,3,66.8,2
139/2,172,14,3,38.6,1
139/2,173,14,3,38.3,1
139/2,174,14,3,67.5,2
139/2,175,15,3,66.9,2
139/2,176,15,3,38.6,1
139/2,177,15,3,38.7,1
139/2,178,15,3,67.8,2
139/2,179,16,3,67.2,2
139/2,180,16,3,38.3,1
139/2,181,16,3,38.6,1
139/2,182,16,3,68.0,2
139/2,183,3,4,85.6,3
139/2,184,3,4,82.5,3
139/2,185,3,4,40.1,1
139/2,186,3,4,39.1,1
139/2,187,3,4,100.9,3
139/2,188,4,4,84.5,3
139/2,189,4,4,81.8,3
139/2,190,4,4,39.6,1
139/2,191,4,4,39.1,1
139/2,192,4,4,101.2,3
139/2,193,5,4,85.3,3
139/2,194,5,4,82.4,3
139/2,195,5,4,39.3,1
139/2,196,5,4,38.5,1
139/2,197,5,4,101.3,3
139/2,198,6,4,84.9,3
139/2,199,6,4,81.0,3
139/2,200,6,4,40.2,1
139/2,201,6,4,38.5,1
139/2,202,6,4,98.9,3
139/2,203,7,4,85.0,3
139/2,204,7,4,81.6,3
139/2,205,7,4,39.1,1
139/2,206,7,4,38.6,1
139/2,207,7,4,100.5,3
139/2,208,8,4,85.2,3
139/2,209,8,4,82.1,3
139/2,210,8,4,39.4,1
139/2,211,8,4,38.4,1
139/2,212,8,4,100.9,3
139/2,213,9,4,64.6,2
139/2,214,9,4,82.6,3
139/2,215,9,4,40.3,1
139/2,216,9,4,38.5,1
139/2,217,9,4,99.8,3
139/2,218,10,4,84.1,3
139/2,219,10,4,82.1,3
139/2,220,10,4,40.8,1
139/2,221,10,4,38.5,1
139/2,222,10,4,100.0,3
139/2,223,11,4,84.1,3
139/2,224,11,4,81.9,3
139/2,225,11,4,39.7,1
139/2,226,11,4,38.3,1
139/2,227,11,4,100.0,3
139/2,228,12,4,83.6,3
139/2,229,12,4,81.9,3
139/2,230,12,4,40.3,1
139/2,231,12,4,38.6,1
139/2,232,12,4,100.7,3
139/2,233,13,4,84.5,3
139/2,234,13,4,82.2,3
139/2,235,13,4,40.7,1
139/2,236,13,4,38.5,1
139/2,237,13,4,99.8,3
139/2,238,14,4,84.0,3
139/2,239,14,4,82.1,3
139/2,240,14,4,40.4,1
139/2,241,14,4,38.7,1
139/2,242,14,4,100.3,3
139/2,243,15,4,84.1,3
139/2,244,15,4,81.6,3
139/2,245,15,4,40.6,1
139/2,246,15,4,38.1,1
139/2,247,15,4,100.5,3
139/2,248,16,4,83.6,3
139/2,249,16,4,81.5,3
139/2,250,16,4,40.4,1
139/2,251,16,4,38.3,1
139/2,252,16,4,100.7,3
139/2,253,17,4,83.7,3
139/2,254,17,4,81.5,3
139/2,255,17,4,40.3,1
139/2,256,17,4,38.4,1
139/2,257,17,4,104.6,3
139/2,258,18,4,83.5,3
139/2,259,18,4,81.5,3
139/2,260,18,4,39.8,1
139/2,261,18,4,38.5,1
139/2,262,18,4,100.1,3
139/2,263,3,5,97.6,3
139/2,264,3,5,39.4,1
139/2,265,3,5,38.8,1
139/2,266,3,5,96.8,3
139/2,267,4,5,96.8,3
139/2,268,4,5,38.8,1
139/2,269,4,5,39.2,1
139/2,270,4,5,96.3,3
139/2,271,5,5,96.8,3
139/2,272,5,5,38.7,1
139/2,273,5,5,38.7,1
139/2,274,5,5,96.7,3
139/2,275,6,5,96.7,3
139/2,276,6,5,38.8,1
139/2,277,6,5,38.7,1
139/2,278,6,5,96.3,3
139/2,279,7,5,96.0,3
139/2,280,7,5,38.2,1
139/2,281,7,5,38.4,1
139/2,282,7,5,96.0,3
139/2,283,8,5,96.3,3
139/2,284,8,5,37.6,1
139/2,285,8,5,37.8,1
139/2,286,8,5,96.2,3
139/2,287,9,5,97.0,3
139/2,288,9,5,38.9,1
139/2,289,9,5,39.2,1
139/2,290,9,5,96.9,3
139/2,291,10,5,96.2,3
139/2,292,10,5,39.1,1
139/2,293,10,5,38.0,1
139/2,294,10,5,96.5,3
139/2,295,11,5,96.3,3
139/2,296,11,5,39.3,1
139/2,297,11,5,39.2,1
139/2,298,11,5,96.5,3
139/2,299,12,5,97.1,3
139/2,300,12,5,39.1,1
139/2,301,12,5,39.0,1
139/2,302,12,5,38.2,1
139/2,303,13,5,96.2,3
139/2,304,13,5,39.0,1
139/2,305,13,5,38.7,1
139/2,306,13,5,96.3,3
139/2,307,14,5,96.7,3
139/2,308,14,5,38.9,1
139/2,309,14,5,38.5,1
139/2,310,14,5,96.0,3
139/2,311,15,5,96.1,3
139/2,312,15,5,39.0,1
139/2,313,15,5,63.6,2
139/2,314,15,5,96.1,3
139/2,315,16,5,96.4,3
139/2,316,16,5,39.0,1
139/2,317,16,5,38.6,1
139/2,318,16,5,96.2,3
139/2,319,17,5,97.2,3
139/2,320,17,5,39.1,1
139/2,321,17,5,38.6,1
139/2,322,17,5,95.8,3
139/2,323,18,5,94.4,3
139/2,324,18,5,39.0,1
139/2,325,18,5,38.9,1
139/2,326,18,5,96.0,3
139/2,327,3,6,41.5,1
139/2,328,3,6,90.3,3
139/2,329,3,6,67.8,2
139/2,330,3,6,97.7,3
139/2,331,3,6,42.4,1
139/2,332,4,6,41.4,1
139/2,333,4,6,90.1,3
139/2,334,4,6,67.2,2
139/2,335,4,6,96.8,3
139/2,336,4,6,41.8,1
139/2,337,5,6,41.5,1
139/2,338,5,6,90.6,3
139/2,339,5,6,67.4,2
139/2,340,5,6,96.1,3
139/2,341,5,6,42.0,1
139/2,342,6,6,41.6,1
139/2,343,6,6,89.6,3
139/2,344,6,6,67.3,2
139/2,345,6,6,96.6,3
139/2,346,6,6,42.2,1
139/2,347,7,6,41.3,1
139/2,348,7,6,90.7,3
139/2,349,7,6,67.7,2
139/2,350,7,6,96.9,3
139/2,351,7,6,41.6,1
139/2,352,8,6,41.4,1
139/2,353,8,6,90.1,3
139/2,354,8,6,67.9,2
139/2,355,8,6,96.9,3
139/2,356,8,6,42.0,1
139/2,357,9,6,41.8,1
139/2,358,9,6,89.1,3
139/2,359,9,6,67.5,2
139/2,360,9,6,96.2,3
139/2,361,9,6,41.5,1
139/2,362,10,6,41.7,1
139/2,363,10,6,89.9,3
139/2,364,10,6,68.0,2
139/2,365,10,6,97.5,3
139/2,366,10,6,42.7,1
139/2,367,11,6,42.1,1
139/2,368,11,6,89.5,3
139/2,369,11,6,67.8,2
139/2,370,11,6,97.0,3
139/2,371,11,6,42.0,1
139/2,372,12,6,41.3,1
139/2,373,12,6,88.7,3
139/2,374,12,6,67.8,2
139/2,375,12,6,97.1,3
139/2,376,12,6,41.8,1
139/2,377,13,6,42.4,1
139/2,378,13,6,90.4,3
139/2,379,13,6,68.0,2
139/2,380,13,6,97.2,3
139/2,381,13,6,42.7,1
139/2,382,14,6,42.3,1
139/2,383,14,6,89.6,3
139/2,384,14,6,67.1,2
139/2,385,14,6,97.2,3
139/2,386,14,6,42.3,1
139/2,387,15,6,42.4,1
139/2,388,15,6,89.5,3
139/2,389,15,6,68.1,2
139/2,390,15,6,97.1,3
139/2,391,15,6,42.1,1
139/2,392,16,6,42.1,1
139/2,393,16,6,88.9,3
139/2,394,16,6,68.2,2
139/2,395,16,6,96.7,3
139/2,396,16,6,42.3,1
139/2,397,17,6,42.3,1
139/2,398,17,6,89.7,3
139/2,399,17,6,68.1,2
139/2,400,17,6,96.5,3
139/2,401,17,6,42.1,1
139/2,402,18,6,42.0,1
139/2,403,18,6,89.1,3
139/2,404,18,6,67.6,2
139/2,405,18,6,96.3,3
139/2,406,18,6,42.5,1
139/2,407,3,7,68.5,2
139/2,408,3,7,39.3,1
139/2,409,3,7,38.4,1
139/2,410,3,7,66.5,2
139/2,411,4,7,66.9,2
139/2,412,4,7,38.8,1
139/2,413,4,7,38.4,1
139/2,414,4,7,67.0,2
139/2,415,5,7,67.9,2
139/2,416,5,7,38.9,1
139/2,417,5,7,39.2,1
139/2,418,5,7,66.9,2
139/2,419,6,7,67.9,2
139/2,420,6,7,39.1,1
139/2,421,6,7,38.5,1
139/2,422,6,7,67.1,2
139/2,423,7,7,69.0,2
139/2,424,7,7,39.1,1
139/2,425,7,7,38.9,1
139/2,426,7,7,67.9,2
139/2,427,8,7,68.3,2
139/2,428,8,7,38.9,1
139/2,429,8,7,39.1,1
139/2,430,8,7,67.7,2
139/2,431,9,7,68.5,2
139/2,432,9,7,38.6,1
139/2,433,9,7,38.8,1
139/2,434,9,7,67.9,2
139/2,435,10,7,68.2,2
139/2,436,10,7,38.5,1
139/2,437,10,7,38.7,1
139/2,438,10,7,67.3,2
139/2,439,11,7,68.5,2
139/2,440,11,7,38.7,1
139/2,441,11,7,38.8,1
139/2,442,11,7,67.3,2
139/2,443,12,7,68.1,2
139/2,444,12,7,38.5,1
139/2,445,12,7,38.7,1
139/2,446,12,7,67.9,2
139/2,447,13,7,68.7,2
139/2,448,13,7,38.8,1
139/2,449,13,7,38.7,1
139/2,450,13,7,67.5,2
139/2,451,14,7,68.7,2
139/2,452,14,7,38.8,1
139/2,453,14,7,39.1,1
139/2,454,14,7,67.8,2
139/2,455,15,7,68.7,2
139/2,456,15,7,39.3,1
139/2,457,15,7,39.0,1
139/2,458,15,7,67.4,2
